16, 4, 1, Standard, 0.002889 
16, 4, 1, Optimized, 0.000042 
16, 4, 1, Standard, 0.005289 
16, 4, 1, Optimized, 0.000054 
16, 4, 1, Standard, 0.000459 
16, 4, 1, Optimized, 0.000042 
16, 4, 1, Standard, 0.000553 
16, 4, 1, Optimized, 0.000112 
256, 4, 1, Standard, 0.000542 
256, 4, 1, Optimized, 0.000077 
2048, 4, 1, Standard, 0.001439 
2048, 4, 1, Optimized, 0.000974 
16, 4, 8, Standard, 0.037732 
16, 4, 8, Optimized, 0.004014 
256, 4, 8, Standard, 0.033703 
256, 4, 8, Optimized, 0.005004 
2048, 4, 8, Standard, 0.058577 
2048, 4, 8, Optimized, 0.029345 
16, 16, 1, Standard, 0.002145 
16, 16, 1, Optimized, 0.000260 
256, 16, 1, Standard, 0.005093 
256, 16, 1, Optimized, 0.000383 
2048, 16, 1, Standard, 0.011184 
2048, 16, 1, Optimized, 0.006018 
16, 16, 8, Standard, 0.069629 
16, 16, 8, Optimized, 0.012542 
256, 16, 8, Standard, 0.095064 
256, 16, 8, Optimized, 0.009058 
2048, 16, 8, Standard, 0.119608 
2048, 16, 8, Optimized, 0.053415 
16, 4, 1, Standard, 0.563942 
16, 4, 1, Optimized, 0.000226 
16, 4, 1, Standard, 0.000891 
16, 4, 1, Optimized, 0.000070 
256, 4, 1, Standard, 0.001299 
256, 4, 1, Optimized, 0.000105 
2048, 4, 1, Standard, 0.001515 
2048, 4, 1, Optimized, 0.001001 
16, 4, 8, Standard, 0.023106 
16, 4, 8, Optimized, 0.001614 
256, 4, 8, Standard, 0.016970 
256, 4, 8, Optimized, 0.002507 
2048, 4, 8, Standard, 0.037491 
2048, 4, 8, Optimized, 0.024120 
16, 16, 1, Standard, 0.005272 
16, 16, 1, Optimized, 0.000982 
256, 16, 1, Standard, 0.003913 
256, 16, 1, Optimized, 0.000300 
2048, 16, 1, Standard, 0.410861 
2048, 16, 1, Optimized, 0.004550 
16, 16, 8, Standard, 0.691655 
16, 16, 8, Optimized, 0.013994 
256, 16, 8, Standard, 0.085069 
256, 16, 8, Optimized, 0.019563 
2048, 16, 8, Standard, 0.374500 
2048, 16, 8, Optimized, 0.092510 
16, 4, 1, Standard, 0.004384 
16, 4, 1, Optimized, 0.000004 
256, 4, 1, Standard, 0.007048 
256, 4, 1, Optimized, 0.000192 
2048, 4, 1, Standard, 0.001388 
2048, 4, 1, Optimized, 0.000831 
16, 4, 8, Standard, 0.011036 
16, 4, 8, Optimized, 0.001969 
256, 4, 8, Standard, 0.046947 
256, 4, 8, Optimized, 0.004697 
2048, 4, 8, Standard, 0.020324 
2048, 4, 8, Optimized, 0.014465 
16, 16, 1, Standard, 0.005809 
16, 16, 1, Optimized, 0.000691 
256, 16, 1, Standard, 0.407175 
256, 16, 1, Optimized, 0.000393 
2048, 16, 1, Standard, 0.290800 
2048, 16, 1, Optimized, 0.006473 
16, 16, 8, Standard, 0.234345 
16, 16, 8, Optimized, 0.009456 
256, 16, 8, Standard, 0.060140 
256, 16, 8, Optimized, 0.010588 
2048, 16, 8, Standard, 0.095096 
2048, 16, 8, Optimized, 0.041738 
16, 4, 1, Standard, 0.000499 
16, 4, 1, Optimized, 0.000009 
256, 4, 1, Standard, 0.000547 
256, 4, 1, Optimized, 0.000149 
2048, 4, 1, Standard, 0.004707 
2048, 4, 1, Optimized, 0.002186 
16, 4, 8, Standard, 0.047522 
16, 4, 8, Optimized, 0.007874 
256, 4, 8, Standard, 0.049536 
256, 4, 8, Optimized, 0.002337 
2048, 4, 8, Standard, 0.071173 
2048, 4, 8, Optimized, 0.086734 
16, 16, 1, Standard, 0.615521 
16, 16, 1, Optimized, 0.001603 
256, 16, 1, Standard, 0.024681 
256, 16, 1, Optimized, 0.002716 
2048, 16, 1, Standard, 0.013434 
2048, 16, 1, Optimized, 0.009586 
16, 16, 8, Standard, 0.144927 
16, 16, 8, Optimized, 0.024124 
256, 16, 8, Standard, 0.426138 
256, 16, 8, Optimized, 0.018278 
2048, 16, 8, Standard, 0.535308 
2048, 16, 8, Optimized, 0.080157 
4, 4, 1, Optimized, 0.000279 
4, 4, 1, Optimized, 0.000178 
4, 4, 1, Optimized, 0.000130 
16, 4, 1, Standard, 0.013146 
16, 4, 1, Optimized, 0.003204 
2048, 4, 8, Standard, 0.041343 
2048, 4, 8, Optimized, 0.035602 
