16, 4, 1, Standard, 0.001237 
16, 4, 1, Optimized, 0.000061 
2048, 4, 8, Standard, 0.044501 
2048, 4, 8, Optimized, 0.041308 
2048, 4, 8, Standard, 0.044238 
2048, 4, 8, Optimized, 0.042306 
256, 4, 8, Standard, 0.019454 
256, 4, 8, Optimized, 0.012683 
16, 4, 8, Standard, 0.009470 
16, 4, 8, Optimized, 0.007997 
16, 4, 1, Standard, 0.000611 
16, 4, 1, Optimized, 0.000211 
256, 4, 1, Standard, 0.000614 
256, 4, 1, Optimized, 0.000309 
2048, 4, 1, Standard, 0.001174 
2048, 4, 1, Optimized, 0.000849 
16, 4, 8, Standard, 0.005064 
16, 4, 8, Optimized, 0.001744 
256, 4, 8, Standard, 0.006721 
256, 4, 8, Optimized, 0.004942 
2048, 4, 8, Standard, 0.033064 
2048, 4, 8, Optimized, 0.024557 
16, 16, 1, Standard, 0.001825 
16, 16, 1, Optimized, 0.000732 
256, 16, 1, Standard, 0.002440 
256, 16, 1, Optimized, 0.000481 
2048, 16, 1, Standard, 0.002857 
2048, 16, 1, Optimized, 0.002074 
16, 16, 8, Standard, 0.016673 
16, 16, 8, Optimized, 0.009435 
256, 16, 8, Standard, 0.015105 
256, 16, 8, Optimized, 0.013459 
2048, 16, 8, Standard, 0.077717 
2048, 16, 8, Optimized, 0.060828 
16, 4, 1, Standard, 0.000626 
16, 4, 1, Optimized, 0.000143 
256, 4, 1, Standard, 0.000802 
256, 4, 1, Optimized, 0.000282 
2048, 4, 1, Standard, 0.001357 
